"noir_photo","gris","noir_mat","cyan","magenta","jaune","date"
252,108,300,3,192,120,"2018-04-06"
252,108,297,0,192,120,"2018-04-07"
252,108,294,0,192,120,"2018-04-08"
252,105,291,0,189,117,"2018-04-09"
237,93,267,300,183,111,"2018-04-10"
234,87,261,297,180,108,"2018-04-11"
231,84,255,297,180,105,"2018-04-12"
228,84,252,297,180,105,"2018-04-13"
228,84,249,297,180,102,"2018-04-14"
228,84,249,297,177,102,"2018-04-15"
225,78,240,294,177,99,"2018-04-16"
219,72,234,291,174,96,"2018-04-17"
216,69,228,291,171,96,"2018-04-18"
213,69,222,288,171,93,"2018-04-19"
210,63,216,288,168,90,"2018-04-20"
210,63,216,288,168,90,"2018-04-21"
210,63,216,288,168,90,"2018-04-22"
207,51,210,285,165,84,"2018-04-23"
195,33,183,279,159,75,"2018-04-24"
186,24,165,276,150,63,"2018-04-25"
183,21,162,276,150,63,"2018-04-26"
180,21,156,276,147,60,"2018-04-27"
180,18,156,276,147,60,"2018-04-28"
180,18,156,276,147,60,"2018-04-29"
177,15,147,273,144,57,"2018-04-30"
171,9,138,270,141,54,"2018-05-01"
171,6,135,270,141,51,"2018-05-02"
165,0,126,270,135,48,"2018-05-03"
165,0,123,267,135,45,"2018-05-04"
162,0,120,267,135,45,"2018-05-05"
162,0,120,267,135,45,"2018-05-06"
162,0,117,267,135,42,"2018-05-07"
162,300,117,267,132,42,"2018-05-08"
159,297,111,264,132,39,"2018-05-09"
159,297,108,264,132,39,"2018-05-10"
159,297,105,264,132,36,"2018-05-11"
156,297,105,264,132,36,"2018-05-12"
156,297,105,264,132,36,"2018-05-13"
156,294,102,264,129,36,"2018-05-14"
147,288,84,261,126,33,"2018-05-15"
147,285,81,258,123,33,"2018-05-16"
141,282,72,258,120,27,"2018-05-17"
138,282,69,258,117,24,"2018-05-18"
138,279,66,255,117,24,"2018-05-19"
138,279,66,255,117,24,"2018-05-20"
138,279,66,255,117,24,"2018-05-21"
126,267,45,249,111,9,"2018-05-22"
114,258,24,243,105,294,"2018-05-23"
114,258,21,243,105,294,"2018-05-24"
111,255,15,243,105,291,"2018-05-25"
108,252,297,243,102,288,"2018-05-28"
102,249,288,240,99,285,"2018-05-29"
102,249,285,240,99,282,"2018-05-30"
99,249,282,237,99,282,"2018-05-31"
99,246,279,237,99,282,"2018-06-01"
96,240,270,234,96,279,"2018-06-04"
90,231,258,231,90,273,"2018-06-05"
87,228,255,231,90,270,"2018-06-06"
87,228,249,231,87,267,"2018-06-07"
84,225,249,231,87,267,"2018-06-08"
84,225,246,228,87,267,"2018-06-09"
84,225,246,228,87,267,"2018-06-10"
75,216,234,225,84,258,"2018-06-11"
72,213,228,225,81,255,"2018-06-12"
60,201,204,222,72,246,"2018-06-13"
60,201,198,219,72,243,"2018-06-14"
57,198,192,219,69,240,"2018-06-15"
57,198,192,219,69,240,"2018-06-16"
57,198,192,216,69,237,"2018-06-17"
54,195,189,216,66,237,"2018-06-18"
45,186,174,213,63,228,"2018-06-19"
39,171,159,207,54,216,"2018-06-20"
33,165,150,204,51,213,"2018-06-21"
33,165,147,204,51,213,"2018-06-22"
33,165,144,204,51,210,"2018-06-23"
33,165,144,204,51,210,"2018-06-24"
30,162,141,204,51,207,"2018-06-25"
24,150,126,198,45,195,"2018-06-27"
12,141,105,195,42,192,"2018-06-28"
12,141,99,195,39,189,"2018-06-29"
9,138,96,195,39,189,"2018-06-30"
9,138,96,195,39,189,"2018-07-01"
9,138,96,195,39,189,"2018-07-02"
9,138,90,192,39,189,"2018-07-03"
6,126,87,192,36,183,"2018-07-04"
3,123,81,189,33,183,"2018-07-05"
0,108,72,186,30,177,"2018-07-06"
0,102,69,183,27,174,"2018-07-07"
0,99,66,183,27,174,"2018-07-08"
0,99,66,183,24,174,"2018-07-09"
0,99,63,180,24,171,"2018-07-10"
297,96,60,180,24,168,"2018-07-11"
294,93,51,177,21,165,"2018-07-12"
294,93,51,177,21,165,"2018-07-13"
294,90,48,177,21,165,"2018-07-14"
291,90,45,177,18,165,"2018-07-16"
288,75,36,174,18,159,"2018-07-17"
282,72,24,171,15,159,"2018-07-18"
279,69,18,171,12,156,"2018-07-19"
279,69,15,171,12,156,"2018-07-20"
276,66,15,168,12,156,"2018-07-21"
276,66,15,168,12,156,"2018-07-22"
273,66,6,168,12,156,"2018-07-23"
273,66,0,168,12,153,"2018-07-24"
270,60,291,165,9,147,"2018-07-25"
270,60,288,165,9,147,"2018-07-26"
267,60,282,165,6,144,"2018-07-27"
267,57,282,162,6,144,"2018-07-29"
264,57,276,162,3,144,"2018-07-30"
258,51,267,162,3,141,"2018-07-31"
258,51,264,162,3,138,"2018-08-01"
255,48,258,159,0,138,"2018-08-02"
255,48,258,159,0,138,"2018-08-03"
255,48,255,159,0,138,"2018-08-04"
255,48,255,159,0,138,"2018-08-05"
255,48,255,159,0,138,"2018-08-06"
252,48,249,159,0,135,"2018-08-07"
249,45,243,156,0,135,"2018-08-08"
